experiments_all_line,scenario,domain,language_scenario,lang_id,expected_language,agent_llm,normalized_agent_llm,simulation_source,results_json,lang_components,pass_hat_1,pass_hat_2,pass_hat_3,rho_3,user_language_correctness,agent_language_correctness,csv_user_language_correctness,csv_agent_language_correctness,user_turns_total,agent_turns_total,user_non_target_lang_proportion,agent_non_target_lang_proportion,user_drift_turn,agent_drift_turn,user_drift_trial_count,agent_drift_trial_count,user_detected_lang_proportion,agent_detected_lang_proportion,language_detector_warning
162,4-translated,retail,filipino,tl,tl,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-20-21-17-35_translated_retail_trial-3_tl_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-20-21-17-35_translated_retail_trial-3_tl_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"",""agent_system"",""greeting"",""tools"",""policy"",""db"",""tasks""]",0.26,0.187,0.158,0.608,0.932898,0.951688,0.942,0.959,1684,1925,en_0.035|lt_0.010|de_0.004|ceb_0.003|id_0.003|fr_0.001|io_0.001|it_0.001|ru_0.001|sh_0.001|es_0.001|gl_0.001|hu_0.001|ja_0.001|la_0.001|lv_0.001|ms_0.001|nl_0.001|ro_0.001|sq_0.001|war_0.001,en_0.048,5.0,26.0,84,90,tl_0.933|en_0.035|lt_0.010|de_0.004|ceb_0.003|id_0.003|fr_0.001|io_0.001|it_0.001|ru_0.001|sh_0.001|es_0.001|gl_0.001|hu_0.001|ja_0.001|la_0.001|lv_0.001|ms_0.001|nl_0.001|ro_0.001|sq_0.001|war_0.001,tl_0.952|en_0.048,
163,4-translated,retail,indonesian,id,id,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-20-21-17-35_translated_retail_trial-3_id_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-20-21-17-35_translated_retail_trial-3_id_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"",""agent_system"",""greeting"",""tools"",""policy"",""db"",""tasks""]",0.243,0.17,0.14,0.576,0.971429,0.963247,0.976,0.968,1680,1959,en_0.017|ms_0.005|de_0.004|es_0.001|nl_0.001|sw_0.001|tr_0.001,en_0.035|ms_0.002,3,28.0,41,72,id_0.971|en_0.017|ms_0.005|de_0.004|es_0.001|nl_0.001|sw_0.001|tr_0.001,id_0.963|en_0.035|ms_0.002,
164,4-translated,retail,thai,th,th,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-20-21-17-35_translated_retail_trial-3_th_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-20-21-17-35_translated_retail_trial-3_th_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"",""agent_system"",""greeting"",""tools"",""policy"",""db"",""tasks""]",0.178,0.143,0.132,0.742,0.992409,0.999409,0.993,1,1449,1691,de_0.003|en_0.003|it_0.001,en_0.001,3,8,11,1,th_0.992|de_0.003|en_0.003|it_0.001,th_0.999|en_0.001,
165,4-translated,retail,vietnamese,vi,vi,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-20-21-17-35_translated_retail_trial-3_vi_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-20-21-17-35_translated_retail_trial-3_vi_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"",""agent_system"",""greeting"",""tools"",""policy"",""db"",""tasks""]",0.289,0.205,0.149,0.516,0.98123,0.999469,0.986,1,1545,1885,en_0.005|fr_0.003|de_0.003|ru_0.002|eu_0.001|pl_0.001|uk_0.001|ca_0.001|hu_0.001|it_0.001,en_0.001,3.0,18,20,1,vi_0.981|en_0.005|fr_0.003|de_0.003|ru_0.002|eu_0.001|pl_0.001|uk_0.001|ca_0.001|hu_0.001|it_0.001,vi_0.999|en_0.001,
166,4-translated,retail,indonesian,id,id,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/4-translated/2026-05-18-01-01-01_translated_retail_trial-3_id_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-18-01-01-01_translated_retail_trial-3_id_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.553,0.395,0.298,0.539,0.975379,0.977811,0.978,0.98,1584,1983,en_0.009|de_0.005|ms_0.005|fr_0.004|ru_0.001,en_0.021|ms_0.001,3,28.0,33,44,id_0.975|en_0.009|de_0.005|ms_0.005|fr_0.004|ru_0.001,id_0.978|en_0.021|ms_0.001,
167,4-translated,telecom,chinese,zh,zh,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-24-02-25-44_telecom_zh_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-24-02-25-44_telecom_zh_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.76,0.652,0.588,0.774,1.0,0.987217,1,0.987,1948,2034,,en_0.013,,38,0,25,zh_1.000,zh_0.987|en_0.013,
168,4-translated,telecom,filipino,tl,tl,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-24-02-05-40_telecom_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-24-02-05-40_telecom_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.681,0.547,0.474,0.696,0.975176,0.94763,0.978,0.929,3545,3017,en_0.015|fr_0.002|io_0.001|ceb_0.001|es_0.001|id_0.001|kw_0.001|cs_0.000|de_0.000|hr_0.000|ie_0.000|it_0.000|ja_0.000|lo_0.000|lt_0.000|pt_0.000|ro_0.000|ru_0.000|sh_0.000|ta_0.000|zh_0.000,en_0.052,55.0,62,58,155,tl_0.975|en_0.015|fr_0.002|io_0.001|ceb_0.001|es_0.001|id_0.001|kw_0.001|cs_0.000|de_0.000|hr_0.000|ie_0.000|it_0.000|ja_0.000|lo_0.000|lt_0.000|pt_0.000|ro_0.000|ru_0.000|sh_0.000|ta_0.000|zh_0.000,tl_0.948|en_0.052,
169,4-translated,telecom,indonesian,id,id,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-18-21-51-53_translated_telecom_trial-3_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-18-21-51-53_translated_telecom_trial-3_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.497,0.325,0.246,0.495,0.990958,0.994943,0.994,0.995,3318,2175,ms_0.007|en_0.001|it_0.001|fr_0.000|jv_0.000|pl_0.000,en_0.004|ms_0.001,38,16,23,11,id_0.991|ms_0.007|en_0.001|it_0.001|fr_0.000|jv_0.000|pl_0.000,id_0.995|en_0.004|ms_0.001,
170,4-translated,telecom,thai,th,th,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-23-21-13-48_telecom_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-23-21-13-48_telecom_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.599,0.447,0.36,0.601,0.99949,0.996556,0.999,0.996,3925,2613,fr_0.000|zh_0.000,en_0.003|mk_0.000|zh_0.000,43.0,34,2,9,th_0.999|fr_0.000|zh_0.000,th_0.997|en_0.003|mk_0.000|zh_0.000,
171,4-translated,telecom,vietnamese,vi,vi,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-24-02-19-11_telecom_vi_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-24-02-19-11_telecom_vi_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.564,0.427,0.36,0.638,0.999564,0.936364,1,0.918,4587,2970,en_0.000,en_0.064,74.0,50,2,187,vi_1.000|en_0.000,vi_0.936|en_0.064,
172,4-translated,telecom,chinese,zh,zh,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-23-17-20-19_translated_telecom_trial-3_zh_Qwen3-235B-A22B-Instruct-2507_vertex_agent_vertex_user,data/simulations/4-translated/2026-05-23-17-20-19_translated_telecom_trial-3_zh_Qwen3-235B-A22B-Instruct-2507_vertex_agent_vertex_user/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.348,0.231,0.175,0.503,0.994355,0.61609,0.996,0.66,2657,2946,en_0.006,en_0.373|ko_0.011,14.0,10.0,6,250,zh_0.994|en_0.006,zh_0.616|en_0.373|ko_0.011,
173,4-translated,telecom,filipino,tl,tl,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-23-13-36-40_translated_telecom_trial-3_tl_Qwen3-235B-A22B-Instruct-2507_vertex_agent_vertex_user,data/simulations/4-translated/2026-05-23-13-36-40_translated_telecom_trial-3_tl_Qwen3-235B-A22B-Instruct-2507_vertex_agent_vertex_user/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.33,0.205,0.149,0.452,0.995828,0.702271,0.996,0.723,2876,3127,en_0.003|de_0.000|ro_0.000,en_0.290|ko_0.008|si_0.000,13,28.0,11,286,tl_0.996|en_0.003|de_0.000|ro_0.000,tl_0.702|en_0.290|ko_0.008|si_0.000,
174,4-translated,telecom,indonesian,id,id,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-23-05-17-06_translated_telecom_trial-3_id_Qwen3-235B-A22B-Instruct-2507_local_agent_localhost_user,data/simulations/4-translated/2026-05-23-05-17-06_translated_telecom_trial-3_id_Qwen3-235B-A22B-Instruct-2507_local_agent_localhost_user/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.427,0.295,0.211,0.494,0.993387,0.988037,0.995,0.99,3478,3678,ms_0.006|en_0.000,en_0.012|ms_0.000,17.0,28.0,20,16,id_0.993|ms_0.006|en_0.000,id_0.988|en_0.012|ms_0.000,
175,4-translated,telecom,thai,th,th,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-23-11-47-07_translated_telecom_trial-3_th_Qwen3-235B-A22B-Instruct-2507_vertex_agent_vertex_user,data/simulations/4-translated/2026-05-23-11-47-07_translated_telecom_trial-3_th_Qwen3-235B-A22B-Instruct-2507_vertex_agent_vertex_user/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.284,0.143,0.079,0.278,0.997655,0.810453,0.998,0.864,2985,3023,en_0.002|sv_0.000,en_0.184|ko_0.004|zh_0.001|si_0.000,33,22.0,5,132,th_0.998|en_0.002|sv_0.000,th_0.810|en_0.184|ko_0.004|zh_0.001|si_0.000,
176,4-translated,telecom,vietnamese,vi,vi,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-23-15-19-46_translated_telecom_trial-3_vi_Qwen3-235B-A22B-Instruct-2507_vertex_agent_vertex_user,data/simulations/4-translated/2026-05-23-15-19-46_translated_telecom_trial-3_vi_Qwen3-235B-A22B-Instruct-2507_vertex_agent_vertex_user/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.383,0.213,0.149,0.389,0.999128,0.888389,0.999,0.894,3441,3557,en_0.001,en_0.111|ko_0.001|la_0.000,62.0,48,2,221,vi_0.999|en_0.001,vi_0.888|en_0.111|ko_0.001|la_0.000,
177,4-translated,telecom,thai,th,th,openrouter/moonshotai/kimi-k2.5,kimi-k2.5,data/simulations/4-translated/2026-05-25-telecom-th-openrouter-kimi-k2.5_default-user,data/simulations/4-translated/2026-05-25-telecom-th-openrouter-kimi-k2.5_default-user/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.693,0.523,0.43,0.62,0.99938,1.0,0.999,1,3224,4095,ko_0.000|zh_0.000,,28.0,,2,0,th_0.999|ko_0.000|zh_0.000,th_1.000,
178,4-translated,telecom,filipino,tl,tl,openrouter/moonshotai/kimi-k2.5,kimi-k2.5,data/simulations/4-translated/2026-05-25-19-45-09_telecom_tl_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-25-19-45-09_telecom_tl_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.743,0.582,0.474,0.638,0.998004,0.984441,0.999,0.98,3006,3792,en_0.001|ceb_0.000|ro_0.000,en_0.015|id_0.001,53.0,34,6,59,tl_0.998|en_0.001|ceb_0.000|ro_0.000,tl_0.984|en_0.015|id_0.001,
179,4-translated,telecom,indonesian,id,id,openrouter/moonshotai/kimi-k2.5,kimi-k2.5,data/simulations/4-translated/2026-05-25-22-00-38_telecom_id_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-25-22-00-38_telecom_id_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.798,0.681,0.588,0.737,0.995642,0.993314,0.996,0.993,3442,4038,ms_0.004,es_0.006|ms_0.000,23,44,15,27,id_0.996|ms_0.004,id_0.993|es_0.006|ms_0.000,
180,4-translated,telecom,chinese,zh,zh,openrouter/moonshotai/kimi-k2.5,kimi-k2.5,data/simulations/4-translated/2026-05-25-02-05-17_translated_telecom_trial-3_zh_gmi-kimi-k2.5_default-user,data/simulations/4-translated/2026-05-25-02-05-17_translated_telecom_trial-3_zh_gmi-kimi-k2.5_default-user/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.863,0.763,0.684,0.793,0.998794,1.0,0.999,1,2487,3393,en_0.001,,23,,3,0,zh_0.999|en_0.001,zh_1.000,
